Ensembl	Gene	"Gene description"
ENSG00000150977	RILPL2	"Rab interacting lysosomal protein like 2"
ENSG00000139405	RITA1	"RBPJ interacting and tubulin associated 1"
ENSG00000172602	RND1	"Rho family GTPase 1"
ENSG00000067900	ROCK1	"Rho associated coiled-coil containing protein kinase 1"
ENSG00000134318	ROCK2	"Rho associated coiled-coil containing protein kinase 2"
ENSG00000169071	ROR2	"Receptor tyrosine kinase like orphan receptor 2"
ENSG00000156313	RPGR	"Retinitis pigmentosa GTPase regulator"
ENSG00000171863	RPS7	"Ribosomal protein S7"
ENSG00000104941	RSPH6A	"Radial spoke head 6 homolog A"
ENSG00000087302	RTRAF	"RNA transcription, translation and transport factor"
ENSG00000176225	RTTN	Rotatin
ENSG00000175792	RUVBL1	"RuvB like AAA ATPase 1"
ENSG00000160678	S100A1	"S100 calcium binding protein A1"
ENSG00000143546	S100A8	"S100 calcium binding protein A8"
ENSG00000163220	S100A9	"S100 calcium binding protein A9"
ENSG00000160307	S100B	"S100 calcium binding protein B"
ENSG00000173432	SAA1	"Serum amyloid A1"
ENSG00000126524	SBDS	"SBDS ribosome maturation factor"
ENSG00000080293	SCTR	"Secretin receptor"
ENSG00000142186	SCYL1	"SCY1 like pseudokinase 1"
ENSG00000131871	SELENOS	"Selenoprotein S"
ENSG00000186522	SEPTIN10	"Septin 10"
ENSG00000138758	SEPTIN11	"Septin 11"
ENSG00000154997	SEPTIN14	"Septin 14"
ENSG00000168385	SEPTIN2	"Septin 2"
ENSG00000100167	SEPTIN3	"Septin 3"
ENSG00000108387	SEPTIN4	"Septin 4"
ENSG00000184702	SEPTIN5	"Septin 5"
ENSG00000125354	SEPTIN6	"Septin 6"
ENSG00000122545	SEPTIN7	"Septin 7"
ENSG00000164402	SEPTIN8	"Septin 8"
ENSG00000120742	SERP1	"Stress associated endoplasmic reticulum protein 1"
ENSG00000181555	SETD2	"SET domain containing 2, histone lysine methyltransferase"
ENSG00000118473	SGIP1	"SH3GL interacting endocytic adaptor 1"
ENSG00000164403	SHROOM1	"Shroom family member 1"
ENSG00000146950	SHROOM2	"Shroom family member 2"
ENSG00000138771	SHROOM3	"Shroom family member 3"
ENSG00000160584	SIK3	"SIK family kinase 3"
ENSG00000148482	SLC39A12	"Solute carrier family 39 member 12"
ENSG00000183023	SLC8A1	"Solute carrier family 8 member A1"
ENSG00000100678	SLC8A3	"Solute carrier family 8 member A3"
ENSG00000133302	SLF1	"SMC5-SMC6 complex localization factor 1"
ENSG00000065613	SLK	"STE20 like kinase"
ENSG00000163681	SLMAP	"Sarcolemma associated protein"
ENSG00000108055	SMC3	"Structural maintenance of chromosomes 3"
ENSG00000183963	SMTN	Smoothelin
ENSG00000214872	SMTNL1	"Smoothelin like 1"
ENSG00000188176	SMTNL2	"Smoothelin like 2"
ENSG00000173267	SNCG	"Synuclein gamma"
ENSG00000168807	SNTB2	"Syntrophin beta 2"
ENSG00000159140	SON	"SON DNA and RNA binding protein"
ENSG00000165698	SPACA9	"Sperm acrosome associated 9"
ENSG00000150628	SPATA4	"Spermatogenesis associated 4"
ENSG00000145375	SPATA5	"Spermatogenesis associated 5"
ENSG00000186583	SPATC1	"Spermatogenesis and centriole associated 1"
ENSG00000128487	SPECC1	"Sperm antigen with calponin homology and coiled-coil domains 1"
ENSG00000100014	SPECC1L	"Sperm antigen with calponin homology and coiled-coil domains 1 like"
ENSG00000163611	SPICE1	"Spindle and centriole associated protein 1"
ENSG00000198917	SPOUT1	"SPOUT domain containing methyltransferase 1"
ENSG00000137877	SPTBN5	"Spectrin beta, non-erythrocytic 5"
ENSG00000144867	SRPRB	"SRP receptor subunit beta"
ENSG00000176101	SSNA1	"SS nuclear autoantigen 1"
ENSG00000117155	SSX2IP	"SSX family member 2 interacting protein"
ENSG00000040341	STAU2	"Staufen double-stranded RNA binding protein 2"
ENSG00000118046	STK11	"Serine/threonine kinase 11"
ENSG00000165730	STOX1	"Storkhead box 1"
ENSG00000099365	STX1B	"Syntaxin 1B"
ENSG00000164828	SUN1	"Sad1 and UNC84 domain containing 1"
ENSG00000164744	SUN3	"Sad1 and UNC84 domain containing 3"
ENSG00000167098	SUN5	"Sad1 and UNC84 domain containing 5"
ENSG00000177868	SVBP	"Small vasohibin binding protein"
ENSG00000197321	SVIL	Supervillin
ENSG00000131018	SYNE1	"Spectrin repeat containing nuclear envelope protein 1"
ENSG00000054654	SYNE2	"Spectrin repeat containing nuclear envelope protein 2"
ENSG00000176438	SYNE3	"Spectrin repeat containing nuclear envelope family member 3"
ENSG00000181392	SYNE4	"Spectrin repeat containing nuclear envelope family member 4"
ENSG00000159082	SYNJ1	"Synaptojanin 1"
ENSG00000149930	TAOK2	"TAO kinase 2"
ENSG00000169762	TAPT1	"Transmembrane anterior posterior transformation 1"
ENSG00000124659	TBCC	"Tubulin folding cofactor C"
ENSG00000113838	TBCCD1	"TBCC domain containing 1"
ENSG00000154114	TBCEL	"Tubulin folding cofactor E like"
ENSG00000285509	TBCEL-TECTA	"TBCEL-TECTA readthrough"
ENSG00000176148	TCP11L1	"T-complex 11 like 1"
ENSG00000188396	TCTEX1D4	"Tctex1 domain containing 4"
ENSG00000163060	TEKT4	"Tektin 4"
ENSG00000153060	TEKT5	"Tektin 5"
ENSG00000147601	TERF1	"Telomeric repeat binding factor 1"
ENSG00000240021	TEX35	"Testis expressed 35"
ENSG00000174796	THAP6	"THAP domain containing 6"
ENSG00000188807	TMEM201	"Transmembrane protein 201"
ENSG00000119777	TMEM214	"Transmembrane protein 214"
ENSG00000238227	TMEM250	"Transmembrane protein 250"
ENSG00000164897	TMUB1	"Transmembrane and ubiquitin like domain containing 1"
ENSG00000173273	TNKS	Tankyrase
ENSG00000163781	TOPBP1	"DNA topoisomerase II binding protein 1"
ENSG00000141510	TP53	"Tumor protein p53"
ENSG00000134779	TPGS2	"Tubulin polyglutamylase complex subunit 2"
ENSG00000179636	TPPP2	"Tubulin polymerization promoting protein family member 2"
ENSG00000182606	TRAK1	"Trafficking kinesin protein 1"
ENSG00000115993	TRAK2	"Trafficking kinesin protein 2"
ENSG00000186439	TRDN	Triadin
ENSG00000152503	TRIM36	"Tripartite motif containing 36"
ENSG00000158022	TRIM63	"Tripartite motif containing 63"
ENSG00000100106	TRIOBP	"TRIO and F-actin binding protein"
ENSG00000103671	TRIP4	"Thyroid hormone receptor interactor 4"
ENSG00000074319	TSG101	"Tumor susceptibility 101"
ENSG00000205838	TTC23L	"Tetratricopeptide repeat domain 23 like"
ENSG00000197557	TTC30A	"Tetratricopeptide repeat domain 30A"
ENSG00000196659	TTC30B	"Tetratricopeptide repeat domain 30B"
ENSG00000165533	TTC8	"Tetratricopeptide repeat domain 8"
ENSG00000100304	TTLL12	"Tubulin tyrosine ligase like 12"
ENSG00000120440	TTLL2	"Tubulin tyrosine ligase like 2"
ENSG00000115514	TXNDC9	"Thioredoxin domain containing 9"
ENSG00000170315	UBB	"Ubiquitin B"
ENSG00000215114	UBXN2B	"UBX domain protein 2B"
ENSG00000167671	UBXN6	"UBX domain protein 6"
ENSG00000168038	ULK4	"Unc-51 like kinase 4"
ENSG00000109103	UNC119	"Unc-119 lipid binding chaperone"
ENSG00000136878	USP20	"Ubiquitin specific peptidase 20"
ENSG00000077254	USP33	"Ubiquitin specific peptidase 33"
ENSG00000117533	VAMP4	"Vesicle associated membrane protein 4"
ENSG00000124333	VAMP7	"Vesicle associated membrane protein 7"
ENSG00000101558	VAPA	"VAMP associated protein A"
ENSG00000124164	VAPB	"VAMP associated protein B and C"
ENSG00000143494	VASH2	"Vasohibin 2"
ENSG00000118965	WDR35	"WD repeat domain 35"
ENSG00000085433	WDR47	"WD repeat domain 47"
ENSG00000075702	WDR62	"WD repeat domain 62"
ENSG00000166483	WEE1	"WEE1 G2 checkpoint kinase"
ENSG00000154342	WNT3A	"Wnt family member 3A"
ENSG00000116213	WRAP73	"WD repeat containing, antisense to TP73"
ENSG00000101966	XIAP	"X-linked inhibitor of apoptosis"
ENSG00000196584	XRCC2	"X-ray repair cross complementing 2"
ENSG00000114127	XRN1	"5'-3' exoribonuclease 1"
ENSG00000176105	YES1	"YES proto-oncogene 1, Src family tyrosine kinase"
ENSG00000119801	YPEL5	"Yippee like 5"
ENSG00000166140	ZFYVE19	"Zinc finger FYVE-type containing 19"
ENSG00000072121	ZFYVE26	"Zinc finger FYVE-type containing 26"
ENSG00000004838	ZMYND10	"Zinc finger MYND-type containing 10"
ENSG00000138311	ZNF365	"Zinc finger protein 365"
ENSG00000170396	ZNF804A	"Zinc finger protein 804A"
ENSG00000109917	ZPR1	"ZPR1 zinc finger"
ENSG00000086827	ZW10	"Zw10 kinetochore protein"
ENSG00000143322	ABL2	"ABL proto-oncogene 2, non-receptor tyrosine kinase"
ENSG00000258472	AC005726.1	"Novel protein"
ENSG00000112304	ACOT13	"Acyl-CoA thioesterase 13"
ENSG00000131966	ACTR10	"Actin related protein 10"
ENSG00000184060	ADAP2	"ArfGAP with dual PH domains 2"
ENSG00000179941	BBS10	"Bardet-Biedl syndrome 10"
ENSG00000126581	BECN1	"Beclin 1"
ENSG00000154473	BUB3	"BUB3 mitotic checkpoint protein"
ENSG00000132357	CARD6	"Caspase recruitment domain family member 6"
ENSG00000152492	CCDC50	"Coiled-coil domain containing 50"
ENSG00000167513	CDT1	"Chromatin licensing and DNA replication factor 1"
ENSG00000145241	CENPC	"Centromere protein C"
ENSG00000100162	CENPM	"Centromere protein M"
ENSG00000100592	DAAM1	"Dishevelled associated activator of morphogenesis 1"
ENSG00000154099	DNAAF1	"Dynein axonemal assembly factor 1"
ENSG00000162643	DNAI3	"Dynein axonemal intermediate chain 3"
ENSG00000152763	DNAI4	"Dynein axonemal intermediate chain 4"
ENSG00000156171	DRAM2	"DNA damage regulated autophagy modulator 2"
ENSG00000114346	ECT2	"Epithelial cell transforming 2"
ENSG00000141736	ERBB2	"Erb-b2 receptor tyrosine kinase 2"
ENSG00000136935	GOLGA1	"Golgin A1"
ENSG00000090615	GOLGA3	"Golgin A3"
ENSG00000144674	GOLGA4	"Golgin A4"
ENSG00000066455	GOLGA5	"Golgin A5"
ENSG00000159289	GOLGA6A	"Golgin A6 family member A"
ENSG00000175265	GOLGA8A	"Golgin A8 family member A"
ENSG00000096872	IFT74	"Intraflagellar transport 74"
ENSG00000089289	IGBP1	"Immunoglobulin binding protein 1"
ENSG00000047578	KATNIP	"Katanin interacting protein"
ENSG00000189337	KAZN	"Kazrin, periplakin interacting protein"
ENSG00000087448	KLHL42	"Kelch like family member 42"
ENSG00000186395	KRT10	"Keratin 10"
ENSG00000167916	KRT24	"Keratin 24"
ENSG00000204897	KRT25	"Keratin 25"
ENSG00000171446	KRT27	"Keratin 27"
ENSG00000173908	KRT28	"Keratin 28"
ENSG00000196859	KRT39	"Keratin 39"
ENSG00000204889	KRT40	"Keratin 40"
ENSG00000126777	KTN1	"Kinectin 1"
ENSG00000162959	MEMO1	"Mediator of cell motility 1"
ENSG00000167842	MIS12	"MIS12 kinetochore complex component"
ENSG00000144061	NPHP1	"Nephrocystin 1"
ENSG00000117697	NSL1	"NSL1 component of MIS12 kinetochore complex"
ENSG00000015676	NUDCD3	"NudC domain containing 3"
ENSG00000143228	NUF2	"NUF2 component of NDC80 kinetochore complex"
ENSG00000075188	NUP37	"Nucleoporin 37"
ENSG00000127980	PEX1	"Peroxisomal biogenesis factor 1"
ENSG00000162928	PEX13	"Peroxisomal biogenesis factor 13"
ENSG00000142731	PLK4	"Polo like kinase 4"
ENSG00000131721	RHOXF2	"Rhox homeobox family member 2"
ENSG00000125844	RRBP1	"Ribosome binding protein 1"
ENSG00000111834	RSPH4A	"Radial spoke head component 4A"
ENSG00000085415	SEH1L	"SEH1 like nucleoporin"
ENSG00000104897	SF3A2	"Splicing factor 3a subunit 2"
ENSG00000008294	SPAG9	"Sperm associated antigen 9"
ENSG00000152253	SPC25	"SPC25 component of NDC80 kinetochore complex"
ENSG00000100104	SRRD	"SRR1 domain containing"
ENSG00000121101	TEX14	"Testis expressed 14, intercellular bridge forming factor"
ENSG00000100815	TRIP11	"Thyroid hormone receptor interactor 11"
ENSG00000155959	VBP1	"VHL binding protein 1"
ENSG00000026025	VIM	Vimentin
ENSG00000148688	RPP30	"Ribonuclease P/MRP subunit p30"
ENSG00000262655	SPON1	"Spondin 1"
ENSG00000072609	CHFR	"Checkpoint with forkhead and ring finger domains"
ENSG00000114737	CISH	"Cytokine inducible SH2 containing protein"
ENSG00000104626	ERI1	"Exoribonuclease 1"
ENSG00000090989	EXOC1	"Exocyst complex component 1"
ENSG00000158769	F11R	"F11 receptor"
ENSG00000261609	GAN	Gigaxonin
ENSG00000198001	IRAK4	"Interleukin 1 receptor associated kinase 4"
ENSG00000166173	LARP6	"La ribonucleoprotein 6, translational regulator"
ENSG00000162591	MEGF6	"Multiple EGF like domains 6"
ENSG00000264522	OTUD7B	"OTU deubiquitinase 7B"
ENSG00000168679	SLC16A4	"Solute carrier family 16 member 4"
ENSG00000106025	TSPAN12	"Tetraspanin 12"
ENSG00000175105	ZNF654	"Zinc finger protein 654"
ENSG00000154642	C21orf91	"Chromosome 21 open reading frame 91"
ENSG00000112297	CRYBG1	"Crystallin beta-gamma domain containing 1"
ENSG00000104805	NUCB1	"Nucleobindin 1"
ENSG00000173867	AC013489.1	"Novel transcript"
ENSG00000167107	ACSF2	"Acyl-CoA synthetase family member 2"
ENSG00000186063	AIDA	"Axin interactor, dorsalization associated"
ENSG00000162641	AKNAD1	"AKNA domain containing 1"
ENSG00000089847	ANKRD24	"Ankyrin repeat domain 24"
ENSG00000100124	ANKRD54	"Ankyrin repeat domain 54"
ENSG00000284922	AP000812.4	"Leucine rich transmembrane and O-methyltransferase domain containing"
ENSG00000198576	ARC	"Activity regulated cytoskeleton associated protein"
ENSG00000214944	ARHGEF28	"Rho guanine nucleotide exchange factor 28"
ENSG00000169379	ARL13B	"ADP ribosylation factor like GTPase 13B"
ENSG00000162174	ASRGL1	"Asparaginase and isoaspartyl peptidase 1"
ENSG00000101844	ATG4A	"Autophagy related 4A cysteine peptidase"
ENSG00000078725	BRINP1	"BMP/retinoic acid inducible neural specific 1"
ENSG00000106245	BUD31	"BUD31 homolog"
ENSG00000179133	C10orf67	"Chromosome 10 open reading frame 67"
ENSG00000171159	C9orf16	"Chromosome 9 open reading frame 16"
ENSG00000063180	CA11	"Carbonic anhydrase 11"
ENSG00000152611	CAPSL	"Calcyphosine like"
ENSG00000159873	CCDC117	"Coiled-coil domain containing 117"
ENSG00000141519	CCDC40	"Coiled-coil domain containing 40"
ENSG00000188596	CFAP54	"Cilia and flagella associated protein 54"
ENSG00000206113	CFAP99	"Cilia and flagella associated protein 99"
ENSG00000164695	CHMP4C	"Charged multivesicular body protein 4C"
ENSG00000086065	CHMP5	"Charged multivesicular body protein 5"
ENSG00000169607	CKAP2L	"Cytoskeleton associated protein 2 like"
ENSG00000074201	CLNS1A	"Chloride nucleotide-sensitive channel 1A"
ENSG00000105427	CNFN	Cornifelin
ENSG00000103426	CORO7-PAM16	"CORO7-PAM16 readthrough"
ENSG00000196872	CRACDL	"CRACD like"
ENSG00000143162	CREG1	"Cellular repressor of E1A stimulated genes 1"
ENSG00000008405	CRY1	"Cryptochrome circadian regulator 1"
ENSG00000100053	CRYBB3	"Crystallin beta B3"
ENSG00000163331	DAPL1	"Death associated protein like 1"
ENSG00000242612	DECR2	"2,4-dienoyl-CoA reductase 2"
ENSG00000170456	DENND5B	"DENN domain containing 5B"
ENSG00000166153	DEPDC4	"DEP domain containing 4"
ENSG00000140543	DET1	"DET1 partner of COP1 E3 ubiquitin ligase"
ENSG00000139734	DIAPH3	"Diaphanous related formin 3"
ENSG00000178904	DPY19L3	"Dpy-19 like C-mannosyltransferase 3"
ENSG00000158163	DZIP1L	"DAZ interacting zinc finger protein 1 like"
ENSG00000183798	EMILIN3	"Elastin microfibril interfacer 3"
ENSG00000138185	ENTPD1	"Ectonucleoside triphosphate diphosphohydrolase 1"
ENSG00000089248	ERP29	"Endoplasmic reticulum protein 29"
ENSG00000173040	EVC2	"EvC ciliary complex subunit 2"
ENSG00000176853	FAM91A1	"Family with sequence similarity 91 member A1"
ENSG00000108306	FBXL20	"F-box and leucine rich repeat protein 20"
ENSG00000118496	FBXO30	"F-box protein 30"
ENSG00000075539	FRYL	"FRY like transcription coactivator"
ENSG00000188738	FSIP2	"Fibrous sheath interacting protein 2"
ENSG00000172461	FUT9	"Fucosyltransferase 9"
ENSG00000139436	GIT2	"GIT ArfGAP 2"
ENSG00000122694	GLIPR2	"GLI pathogenesis related 2"
ENSG00000204175	GPRIN2	"G protein regulated inducer of neurite outgrowth 2"
ENSG00000104812	GYS1	"Glycogen synthase 1"
ENSG00000103044	HAS3	"Hyaluronan synthase 3"
ENSG00000131097	HIGD1B	"HIG1 hypoxia inducible domain family member 1B"
ENSG00000153976	HS3ST3A1	"Heparan sulfate-glucosamine 3-sulfotransferase 3A1"
ENSG00000109083	IFT20	"Intraflagellar transport 20"
ENSG00000128581	IFT22	"Intraflagellar transport 22"
ENSG00000152049	KCNE4	"Potassium voltage-gated channel subfamily E regulatory subunit 4"
ENSG00000197077	KIAA1671	KIAA1671
ENSG00000115365	LANCL1	"LanC like 1"
ENSG00000157978	LDLRAP1	"Low density lipoprotein receptor adaptor protein 1"
ENSG00000171757	LRRC34	"Leucine rich repeat containing 34"
ENSG00000184154	LRTOMT	"Leucine rich transmembrane and O-methyltransferase domain containing"
ENSG00000137764	MAP2K5	"Mitogen-activated protein kinase kinase 5"
ENSG00000170439	METTL7B	"Methyltransferase like 7B"
ENSG00000148187	MRRF	"Mitochondrial ribosome recycling factor"
ENSG00000106436	MYL10	"Myosin light chain 10"
ENSG00000111245	MYL2	"Myosin light chain 2"
ENSG00000159593	NAE1	"NEDD8 activating enzyme E1 subunit 1"
ENSG00000187109	NAP1L1	"Nucleosome assembly protein 1 like 1"
ENSG00000136098	NEK3	"NIMA related kinase 3"
ENSG00000183828	NUDT14	"Nudix hydrolase 14"
ENSG00000122126	OCRL	"OCRL inositol polyphosphate-5-phosphatase"
ENSG00000217930	PAM16	"Presequence translocase associated motor 16"
ENSG00000163440	PDCL2	"Phosducin like 2"
ENSG00000148985	PGAP2	"Post-GPI attachment to proteins 2"
ENSG00000033800	PIAS1	"Protein inhibitor of activated STAT 1"
ENSG00000101333	PLCB4	"Phospholipase C beta 4"
ENSG00000187091	PLCD1	"Phospholipase C delta 1"
ENSG00000125534	PPDPF	"Pancreatic progenitor cell differentiation and proliferation factor"
ENSG00000235194	PPP1R3E	"Protein phosphatase 1 regulatory subunit 3E"
ENSG00000164169	PRMT9	"Protein arginine methyltransferase 9"
ENSG00000206260	PRR23A	"Proline rich 23A"
ENSG00000184814	PRR23B	"Proline rich 23B"
ENSG00000233701	PRR23C	"Proline rich 23C"
ENSG00000197170	PSMD12	"Proteasome 26S subunit, non-ATPase 12"
ENSG00000108352	RAPGEFL1	"Rap guanine nucleotide exchange factor like 1"
ENSG00000165105	RASEF	"RAS and EF-hand domain containing"
ENSG00000100263	RHBDD3	"Rhomboid domain containing 3"
ENSG00000110315	RNF141	"Ring finger protein 141"
ENSG00000099999	RNF215	"Ring finger protein 215"
ENSG00000089009	RPL6	"Ribosomal protein L6"
ENSG00000166133	RPUSD2	"RNA pseudouridine synthase domain containing 2"
ENSG00000151466	SCLT1	"Sodium channel and clathrin linker 1"
ENSG00000000457	SCYL3	"SCY1 like pseudokinase 3"
ENSG00000125731	SH2D3A	"SH2 domain containing 3A"
ENSG00000107295	SH3GL2	"SH3 domain containing GRB2 like 2, endophilin A1"
ENSG00000074621	SLC24A1	"Solute carrier family 24 member 1"
ENSG00000145217	SLC26A1	"Solute carrier family 26 member 1"
ENSG00000164638	SLC29A4	"Solute carrier family 29 member 4"
ENSG00000139974	SLC38A6	"Solute carrier family 38 member 6"
ENSG00000170290	SLN	Sarcolipin
ENSG00000172296	SPTLC3	"Serine palmitoyltransferase long chain base subunit 3"
ENSG00000078269	SYNJ2	"Synaptojanin 2"
ENSG00000147041	SYTL5	"Synaptotagmin like 5"
ENSG00000149591	TAGLN	Transgelin
ENSG00000119977	TCTN3	"Tectonic family member 3"
ENSG00000180113	TDRD6	"Tudor domain containing 6"
ENSG00000126768	TIMM17B	"Translocase of inner mitochondrial membrane 17B"
ENSG00000163659	TIPARP	"TCDD inducible poly(ADP-ribose) polymerase"
ENSG00000198270	TMEM116	"Transmembrane protein 116"
ENSG00000149483	TMEM138	"Transmembrane protein 138"
ENSG00000206432	TMEM200C	"Transmembrane protein 200C"
ENSG00000107854	TNKS2	"Tankyrase 2"
ENSG00000118194	TNNT2	"Troponin T2, cardiac type"
ENSG00000153339	TRAPPC8	"Trafficking protein particle complex 8"
ENSG00000173113	TRMT112	"TRNA methyltransferase subunit 11-2"
ENSG00000158457	TSPAN33	"Tetraspanin 33"
ENSG00000136014	USP44	"Ubiquitin specific peptidase 44"
ENSG00000129003	VPS13C	"Vacuolar protein sorting 13 homolog C"
ENSG00000136631	VPS45	"Vacuolar protein sorting 45 homolog"
ENSG00000166272	WBP1L	"WW domain binding protein 1 like"
ENSG00000151718	WWC2	"WW and C2 domain containing 2"
ENSG00000126970	ZC4H2	"Zinc finger C4H2-type containing"
ENSG00000204160	ZDHHC18	"Zinc finger DHHC-type palmitoyltransferase 18"
ENSG00000197279	ZNF165	"Zinc finger protein 165"
ENSG00000197937	ZNF347	"Zinc finger protein 347"
ENSG00000197857	ZNF44	"Zinc finger protein 44"
ENSG00000251369	ZNF550	"Zinc finger protein 550"
ENSG00000127903	ZNF835	"Zinc finger protein 835"
ENSG00000271254	AC240274.1	"Neuroblastoma breakpoint family member 1"
ENSG00000286185	AC242842.3	"Novel protein, identical to neuroblastoma breakpoint family, member 19 NBPF19"
ENSG00000147799	ARHGAP39	"Rho GTPase activating protein 39"
ENSG00000160882	CYP11B1	"Cytochrome P450 family 11 subfamily B member 1"
ENSG00000179142	CYP11B2	"Cytochrome P450 family 11 subfamily B member 2"
ENSG00000163214	DHX57	"DExH-box helicase 57"
ENSG00000143420	ENSA	"Endosulfine alpha"
ENSG00000167880	EVPL	Envoplakin
ENSG00000146830	GIGYF1	"GRB10 interacting GYF protein 1"
ENSG00000056050	HPF1	"Histone PARylation factor 1"
ENSG00000176842	IRX5	"Iroquois homeobox 5"
ENSG00000139620	KANSL2	"KAT8 regulatory NSL complex subunit 2"
ENSG00000172578	KLHL6	"Kelch like family member 6"
ENSG00000175489	LRRC25	"Leucine rich repeat containing 25"
ENSG00000007264	MATK	"Megakaryocyte-associated tyrosine kinase"
ENSG00000219481	NBPF1	"NBPF member 1"
ENSG00000271425	NBPF10	"NBPF member 10"
ENSG00000263956	NBPF11	"NBPF member 11"
ENSG00000268043	NBPF12	"NBPF member 12"
ENSG00000270629	NBPF14	"NBPF member 14"
ENSG00000266338	NBPF15	"NBPF member 15"
ENSG00000271383	NBPF19	"NBPF member 19"
ENSG00000162825	NBPF20	"NBPF member 20"
ENSG00000273136	NBPF26	"NBPF member 26"
ENSG00000269713	NBPF9	"NBPF member 9"
ENSG00000175115	PACS1	"Phosphofurin acidic cluster sorting protein 1"
ENSG00000105849	POLR1F	"RNA polymerase I subunit F"
ENSG00000171700	RGS19	"Regulator of G protein signaling 19"
ENSG00000171241	SHCBP1	"SHC binding and spindle associated 1"
ENSG00000188338	SLC38A3	"Solute carrier family 38 member 3"
ENSG00000177679	SRRM3	"Serine/arginine repetitive matrix 3"
ENSG00000204852	TCTN1	"Tectonic family member 1"
ENSG00000153015	CWC27	"CWC27 spliceosome associated cyclophilin"
ENSG00000133943	DGLUCY	"D-glutamate cyclase"
ENSG00000100281	HMGXB4	"HMG-box containing 4"
ENSG00000136826	KLF4	"Kruppel like factor 4"
ENSG00000234465	PINLYP	"Phospholipase A2 inhibitor and LY6/PLAUR domain containing"
ENSG00000155380	SLC16A1	"Solute carrier family 16 member 1"
ENSG00000104549	SQLE	"Squalene epoxidase"
ENSG00000106868	SUSD1	"Sushi domain containing 1"
ENSG00000149582	TMEM25	"Transmembrane protein 25"
